Title,Order,Date,High level instructions,Time,Status,Detailed Instructions,Trip,Image,Category
Historic Center Tour,10,2026-03-02,"09:00 AM| Departure from the Astoria Hotel Lobby.
01:00 PM | Estimated return to the hotel.

Explore Rio’s historical landmarks with an expert local guide.

Good to Know
- For your comfort and safety, please wear comfortable closed-toe shoes (sneakers are ideal). Expect to navigate hills, stairs, and traditional cobblestone streets.
- We recommend bringing a small day-pack with sunscreen, a hat, and a bottle of water.
- It is useful to have some local currency (cash) for small purchases or snacks along the way.
- To ensure the best experience, please stay close to your guide at all times.
- Punctuality: To make the most of our itinerary, please be at the meeting point by 08:50 AM.",9:00:00,Planned,"<p class=""font_8""><br></p>
<p class=""font_8""><br></p>",Ross26,wix:image://v1/e340b3_4f87b0d9df2049c991a251bb33eaad16~mv2.jpg/PARROT%20TRIPS%202025_DIA%203-6.jpg#originWidth=2048&originHeight=1365,Included
Footvolley class,11,2026-03-02,"Time to go really deep into the Carioca culture, playing foot volley in Ipanema beach.

1 hour class

 Wear light sportswear, swimwear, or clothes you don't mind getting sandy.

Sunscreen and a bottle of water are highly recommended. 

Location and further instructions will be sent closer to the date",15:00:00,Repo,"<p class=""font_8""><br></p>
<ul class=""font_8"">
  <li><p class=""font_8"">&nbsp;Classes are structured to accommodate all levels, from complete beginners to intermediate players.&nbsp;</p></li>
  <li><p class=""font_8"">The instructor will provide drills and friendly game scenarios to practice new skills.&nbsp;</p></li>
  <li><p class=""font_8"">In case of heavy rain or storms, the activity may be canceled and the fee refunded.&nbsp;</p></li>
  <li><p class=""font_8"">Included: - Professional instructor, footvolley balls, &nbsp;marked court/net setup</p></li>
</ul>",Ross26,wix:image://v1/7693bd_81817979b2fe4fc1a8bad262557905c7~mv2.webp/futevolei.webp#originWidth=500&originHeight=315,Optional
,,,,,,"<ul class=""font_8"">
  <li><p class=""font_8"">Pedra do Sal is located <a href=""https://maps.app.goo.gl/x4R9HRkqWfz1d5zBA""><u>here</u></a> but the dropp off point is the Largo de São Francisco da Prainha</p></li>
  <li><p class=""font_8"">It is a historical heritage site and the birthplace of urban samba in Rio. It’s an open-air street party, known for its deep cultural roots, live acoustic samba, and a very casual, energetic crowd.&nbsp;</p></li>
  <li><p class=""font_8"">How it works The ""Roda de Samba"" happens at the foot of the rock, where musicians gather around a table to play classics. The crowd stands around them, singing and dancing. It usually happens on Monday nights (the traditional one) and sometimes Fridays.&nbsp;</p></li>
  <li><p class=""font_8"">Expect a packed street, standing room only, and a vibrant, communal atmosphere.&nbsp;</p></li>
</ul>
<p class=""font_8"">Good to know:&nbsp;</p>
<ul class=""font_8"">
  <li><p class=""font_8"">Tickets No tickets required.</p></li>
  <li><p class=""font_8"">&nbsp;It is a public street event and completely free to enter.&nbsp;</p></li>
  <li><p class=""font_8"">&nbsp;There are no formal waiters. You buy drinks (beers, caipirinhas) and food (street BBQ, pastries) from the many street vendors and tents scattered around the area.&nbsp;</p></li>
  <li><p class=""font_8"">Bring cash as some vendors might not take cards, though many do. -&nbsp;</p></li>
  <li><p class=""font_8"">Safety: It gets very crowded. Keep your phone and wallet in front pockets or a fanny pack; avoid wearing expensive jewelry.&nbsp;</p></li>
  <li><p class=""font_8"">Dress code: Very casual. Wear comfortable shoes (sneakers) as the ground is uneven/cobblestone and you will be standing.&nbsp;</p></li>
  <li><p class=""font_8"">Transport: We highly recommend using Uber/rideshare to get there and back</p></li>
</ul>",Ross26,wix:image://v1/7693bd_0197d7e6df05465f8db34296c0a6fde2~mv2.webp/Pedra-do-Sal-Rio-de-Janeiro.webp#originWidth=960&originHeight=751,Included
,,,,,,"<ul class=""font_8"">
  <li><p class=""font_8"">How this activity will be:&nbsp;</p><ul><li><p class=""font_8"">We will leave the hotel by 1:30PM&nbsp;</p></li><li><p class=""font_8"">Meet our local favela guide at the botton part of the favela Vidigal&nbsp;</p></li><li><p class=""font_8"">Get a another transfer ( a local favela van) up to the hiking starting point&nbsp;</p></li><li><p class=""font_8"">Hike up then down&nbsp;</p></li><li><p class=""font_8"">Walk down the Favela&nbsp;</p></li></ul></li>
  <li><p class=""font_8"">The trail is steep in parts, but the view from the top is one of the most rewarding in Rio.&nbsp;</p></li>
  <li><p class=""font_8"">The total duration of the hike (up and down) is approximately 3 to 4 hours hours, depending on the group's pace.</p></li>
  <li><p class=""font_8"">Come with proper hike clothing and comfortable shoes. Bring sunscreem and water</p></li>
  <li><p class=""font_8"">In case of rain: we will assess the with the guide what is possible to do and update everyone.&nbsp;</p></li>
</ul>",Ross26,wix:image://v1/7693bd_e3c1b51b1bfc4febba07f0338297e88c~mv2.avif/trilha-dois-irmaos.avif#originWidth=888&originHeight=573,Included
,,,,,,"<ul class=""font_8"">
  <li><p class=""font_8"">We depart from the Astoria Hotel at <strong>08:00 AM</strong>, arriving at the <u>Conceição de Jacareí pie</u>r by <strong>11:00 AM</strong>. From there, we will proceed by boat to Ilha Grande.</p></li>
</ul>",Ross26,wix:image://v1/e340b3_430325a3ce6f4867b451e82f68a4386a~mv2.jpeg/WhatsApp%20Image%202025-08-12%20at%2016.21.22.jpeg#originWidth=1280&originHeight=852,Logistics
,,,,,,,Ross26,wix:image://v1/e340b3_4bf232eb627d4d289f3c8768307db329~mv2.avif/recreio%20da%20praia.avif#originWidth=979&originHeight=575,Logistics
,,,,,,"<p class=""font_8"">Immerse yourself in the authentic rhythms and flavors of Brazil! Join us for an unforgettable afternoon starting with an energetic Forró dance lesson, where you’ll learn the steps of our most traditional social dance. To follow, you will master the art of crafting the perfect Caipirinha in our hands-on mixology workshop.</p>
<ul class=""font_8"">
  <li><p class=""font_8"">No skills required — just good vibes.</p></li>
</ul>",Ross26,wix:image://v1/e340b3_e9fb9cf497b44580b0063ef9d57b2f9d~mv2.jpg/Parrot%20Trips-Rio%20De%20Janeiro-23102024-_gerente.rec-81.jpg#originWidth=3069&originHeight=2046,Included
,,,,,,"<h3 class=""font_3"">Highlights</h3>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Exclusive Privacy:</strong> A private boat tour dedicated entirely to our group.</p></li>
  <li><p class=""font_8""><strong>Scenic Swim Stops:</strong> 2 to 3 stops at breathtaking spots for swimming and snorkeling.</p></li>
  <li><p class=""font_8""><strong>Premium Inclusions:</strong> Lunch served onboard and a full Open Bar featuring authentic caipirinhas and cold beer.</p></li>
</ul>",Ross26,wix:image://v1/e340b3_7f0a22b252f346c7abe0453b618f15e6~mv2.jpg/pexels-drethousand-8571178%20(1).jpg#originWidth=3992&originHeight=2242,Included
,,,,,,,Ross26,wix:image://v1/e340b3_af6d6414168843f4a4883ed70cddfca4~mv2.jpg/PARROT%20TRIPS%202025_DIA%202_-100.jpg#originWidth=2048&originHeight=1365,Included
,,,,,,"<h3 class=""font_3""><strong>GIG Airport Drop-off</strong></h3>
<p class=""font_8"">For travelers departing today, the transfer will stop at <strong>GIG Airport</strong> before continuing to the Astoria Hotel.</p>
<p class=""font_8""><strong>Scheduled Travelers for GIG:</strong></p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>Flight at 10:55 PM:</strong> Jacqueline Barraza, Ivan Barrueta, Jasmin Lopez, and Tyler Gray.</p></li>
</ul>
<p class=""font_8""><strong>Estimated Arrival at GIG:</strong> Approximately <strong>04:00 PM</strong>, allowing ample time for check-in and security.</p>",Ross26,wix:image://v1/e340b3_430325a3ce6f4867b451e82f68a4386a~mv2.jpeg/WhatsApp%20Image%202025-08-12%20at%2016.21.22.jpeg#originWidth=1280&originHeight=852,Logistics
,,,,,,"<h3 class=""font_3""><strong>Airport Drop-offs &amp; Departures</strong></h3>
<p class=""font_8""><br></p>
<p class=""font_8""><strong>March 8th, 2026</strong></p>
<ul class=""font_8"">
  <li><p class=""font_8""><strong>04:00 PM | Hotel Pickup:</strong> Group transfer from Astoria Ipanema to GIG Airport for the following travelers:<br>
<strong>Flight at 08:00 PM:</strong> Kristen Fernandez, Jonathan Pizano, Bernardo G. C. G. Ferreira, Daniel Tineo, and DeVar Jones.<br>
<strong>Flight at 09:30 PM:</strong> Terry Winston, Isaiah Thomas Pihlstrom, and Dario Garcia.<br>
<strong>Flight at 10:55 PM:</strong> Bailey Ethier and Abrahm Philip Coury.</p></li>
</ul>",Ross26,"https://static.wixstatic.com/media/e340b3_ca732f1773e54c888606be94003cb864~mv2.jpg/v1/fill/w_1365,h_2048,al_c,q_90,enc_auto/PARROT%20TRIPS%202025_DIA%203-32%20(1).jpg",Logistics
